#Centrality        Multiplicity       ImpactParameter    Npart
000	001         219.53232082       0.0080250718       392
001	002         179.33541529       1.5939843172       376
002	003         170.64975368       2.2569042251       366
003	004         163.31147875       2.7610912886       356
004	005         156.37323568       3.1889231603       346
005	006         149.78864457       3.5617310796       335
006	007         143.52718267       3.9017297331       325
007	008         137.75141171       4.2182881815       315
008	009         132.24805665       4.5072049600       305
009	010         126.96644416       4.7792733170       296
010	011         121.83901761       5.0377327357       286
011	012         117.00803685       5.2786839851       277
012	013         112.30736659       5.5122595002       268
013	014         107.85529345       5.7399877336       259
014	015         103.54497539       5.9582943920       250
015	016         99.456778121       6.1721226544       242
016	017         95.454290689       6.3735536147       234
017	018         91.652857311       6.5684605895       226
018	019         88.003696684       6.7593509431       218
019	020         84.423896153       6.9448425480       211
020	021         80.989386942       7.1253808597       203
021	022         77.702896451       7.3007572253       196
022	023         74.537567527       7.4686457908       189
023	024         71.469038732       7.6382491505       182
024	025         68.511023639       7.8011695110       176
025	026         65.701087785       7.9595264584       170
026	027         62.952830326       8.1188766275       163
027	028         60.283853644       8.2711130997       157
028	029         57.702042762       8.4221766283       151
029	030         55.207559694       8.5705802583       146
030	031         52.800101996       8.7167218145       140
031	032         50.485108353       8.8607362204       134
032	033         48.209950193       9.0029907138       129
033	034         46.079068967       9.1434509456       124
034	035         43.956510228       9.2813803177       119
035	036         41.932307071       9.4166279011       114
036	037         40.005236260       9.5501364742       109
037	038         38.093786659       9.6821742136       105
038	039         36.240044199       9.8134896800       100
039	040         34.477258752       9.9415955468       96
040	041         32.782311275       10.0701873374       92
041	042         31.141958685       10.1949834578       88
042	043         29.573455506       10.3184537711       84
043	044         28.048577106       10.4412310615       80
044	045         26.587518541       10.5614312744       76
045	046         25.214611336       10.6810535373       73
046	047         23.862387434       10.7991459209       69
047	048         22.561206072       10.9164491107       66
048	049         21.305235779       11.0338671734       63
049	050         20.116310652       11.1476580011       59
050	051         18.966204345       11.2596151805       56
051	052         17.861339812       11.3729885146       53
052	053         16.802010030       11.4855665088       51
053	054         15.806311853       11.5958036195       48
054	055         14.854400321       11.7033584422       45
055	056         13.947822895       11.8105241188       43
056	057         13.081459861       11.9171764580       41
057	058         12.239957473       12.0230465505       38
058	059         11.444160860       12.1297226460       36
059	060         10.695118576       12.2340962697       34
060	061         9.9777937749       12.3362344659       32
061	062         9.2963204960       12.4377412191       30
062	063         8.6456057607       12.5375928100       28
063	064         8.0290680372       12.6386742485       27
064	065         7.4537105974       12.7375698045       25
065	066         6.9157379555       12.8356716747       23
066	067         6.3863198714       12.9335182552       22
067	068         5.9034600934       13.0294219706       20
068	069         5.4404940115       13.1245042679       19
069	070         5.0083828814       13.2206808332       18
070	071         4.6004914318       13.3176065549       17
071	072         4.2178795657       13.4112139531       15
072	073         3.8564487782       13.5059179766       14
073	074         3.5286254200       13.5998480011       13
074	075         3.2132484165       13.6923039800       12
075	076         2.9176848611       13.7850815334       11
076	077         2.6486241836       13.8773230558       11
077	078         2.4009054052       13.9696107877       10
078	079         2.1714037703       14.0616148617       9
079	080         1.9613510471       14.1535754340       8
080	081         1.7652132351       14.2462447568       8
081	082         1.5838267529       14.3389407286       7
082	083         1.4162795182       14.4328993834       6
083	084         1.2610331339       14.5287509570       6
084	085         1.1207680943       14.6226934948       5
085	086         0.9904753054       14.7188735436       5
086	087         0.8716219769       14.8188738132       4
087	088         0.7642939385       14.9203080968       4
088	089         0.6668005121       15.0271291940       4
089	090         0.5774236715       15.1382006419       4
090	091         0.4954898276       15.2516133019       3
091	092         0.4200133065       15.3704724961       3
092	093         0.3522951890       15.4989617705       2
093	094         0.2916039078       15.6385400646       2
094	095         0.2367160592       15.7931487517       2
095	096         0.1881462898       15.9676799603       2
096	097         0.1438950031       16.1718332847       2
097	098         0.1046229834       16.4202911776       2
098	099         0.0689396350       16.7491506822       2
099	100         0.0366424317       17.2822648897       2
