#Centrality        Multiplicity       ImpactParameter    Npart
000	001         231.80424182       0.0085962710       416
001	002         192.36593217       1.6801179108       406
002	003         183.19614490       2.3648500871       399
003	004         175.23462419       2.9037411505       390
004	005         167.90179496       3.3561166569       380
005	006         160.88435897       3.7527738913       371
006	007         154.22643376       4.1078147737       361
007	008         147.96436191       4.4340089913       351
008	009         141.90507185       4.7473189014       341
009	010         136.11521336       5.0349579902       330
010	011         130.61694431       5.3127379506       320
011	012         125.41707461       5.5712475991       311
012	013         120.39592510       5.8178490942       301
013	014         115.49307810       6.0580035296       292
014	015         110.89725694       6.2896025237       282
015	016         106.40084430       6.5137826450       273
016	017         102.15348969       6.7283479595       265
017	018         98.043504067       6.9331822620       256
018	019         94.082181763       7.1342874191       248
019	020         90.294625989       7.3298630589       239
020	021         86.644172069       7.5170383008       231
021	022         83.090848054       7.6996933680       223
022	023         79.657399403       7.8803309613       216
023	024         76.355310825       8.0566534775       208
024	025         73.124853115       8.2276108441       201
025	026         70.119046219       8.3991440808       194
026	027         67.139592578       8.5665864505       187
027	028         64.282835738       8.7290463256       180
028	029         61.502689306       8.8886086934       174
029	030         58.805293896       9.0483929878       167
030	031         56.222257471       9.2046784824       161
031	032         53.725759002       9.3553903200       155
032	033         51.315657390       9.5054571780       149
033	034         48.983440968       9.6515428010       143
034	035         46.762861089       9.7954375783       138
035	036         44.580764668       9.9375613464       132
036	037         42.496726073       10.0802058078       127
037	038         40.520984249       10.2163671060       122
038	039         38.591174589       10.3532669530       117
039	040         36.737614176       10.4905477609       112
040	041         34.915042906       10.6229946542       107
041	042         33.150297329       10.7530747568       102
042	043         31.461820278       10.8848638729       98
043	044         29.888776256       11.0150630866       93
044	045         28.345578597       11.1414009999       89
045	046         26.884514491       11.2694185670       85
046	047         25.449205366       11.3922640290       81
047	048         24.053900401       11.5135513585       77
048	049         22.745430546       11.6357557677       73
049	050         21.494224474       11.7557960649       70
050	051         20.282162555       11.8728442547       66
051	052         19.123384295       11.9932289528       63
052	053         18.022496029       12.1094065297       60
053	054         16.952506245       12.2249483417       57
054	055         15.921453591       12.3385691955       54
055	056         14.946795262       12.4534933014       51
056	057         14.008810547       12.5678922641       48
057	058         13.122594747       12.6795171677       45
058	059         12.270573990       12.7876942036       43
059	060         11.465027628       12.8958457558       40
060	061         10.700173886       13.0045934482       38
061	062         9.9747848650       13.1121819870       36
062	063         9.2885249423       13.2192017464       33
063	064         8.6304428322       13.3258778222       31
064	065         8.0036725739       13.4316077873       29
065	066         7.4216648719       13.5356230887       27
066	067         6.8592369593       13.6391737557       26
067	068         6.3340034201       13.7431063630       24
068	069         5.8417591268       13.8446070281       22
069	070         5.3686163709       13.9440447957       21
070	071         4.9263882385       14.0446041653       19
071	072         4.5147541699       14.1429266698       18
072	073         4.1301644213       14.2446667488       17
073	074         3.7730349727       14.3443536017       15
074	075         3.4339196818       14.4433491563       14
075	076         3.1231801080       14.5415653697       13
076	077         2.8356591025       14.6400886364       12
077	078         2.5674664919       14.7356254667       11
078	079         2.3181184725       14.8309205687       10
079	080         2.0889362478       14.9305360936       9
080	081         1.8742274130       15.0256722277       9
081	082         1.6770604691       15.1226764612       8
082	083         1.4951908240       15.2207009453       7
083	084         1.3296261755       15.3167927526       7
084	085         1.1773280722       15.4160880117       6
085	086         1.0359520219       15.5170733107       6
086	087         0.9098525891       15.6184687775       5
087	088         0.7915503080       15.7228405944       5
088	089         0.6872240061       15.8317771067       4
089	090         0.5926065293       15.9439530374       4
090	091         0.5063149590       16.0609823147       4
091	092         0.4277364779       16.1830622952       3
092	093         0.3565858863       16.3131619818       3
093	094         0.2937908004       16.4522391188       2
094	095         0.2370576221       16.6067215294       2
095	096         0.1864876921       16.7828001586       2
096	097         0.1413155234       16.9900666262       2
097	098         0.1015521994       17.2420221154       2
098	099         0.0661809892       17.5830703117       2
099	100         0.0346591708       18.1179656957       2
