#Centrality        Multiplicity         ImpactParameter    Npart
000	001         237.4602836600       0.0150149563       416
001	002         191.8143707100       1.6924052491       405
002	003         182.5138553300       2.3812361093       396
003	004         174.6294728000       2.9087908255       387
004	005         167.3302128300       3.3522967460       378
005	006         160.4725447100       3.7386836366       368
006	007         153.9576538800       4.0945478987       358
007	008         147.6898099200       4.4213119297       348
008	009         141.5869010300       4.7290055737       337
009	010         135.9211188400       5.0167790293       327
010	011         130.4665200100       5.2886407651       317
011	012         125.2470109100       5.5438816370       308
012	013         120.2500939700       5.7927967727       298
013	014         115.4175797800       6.0265279266       289
014	015         110.8439216300       6.2538479869       280
015	016         106.4350415400       6.4738172300       271
016	017         102.1921272300       6.6829778027       262
017	018         98.24083327900       6.8875356616       253
018	019         94.31468656000       7.0867936051       245
019	020         90.47371308800       7.2814539287       237
020	021         86.81616370000       7.4704979713       229
021	022         83.28234166800       7.6539774190       221
022	023         79.85985440100       7.8354851810       213
023	024         76.53614345000       8.0147340521       206
024	025         73.37065968500       8.1864611425       199
025	026         70.25324576400       8.3570521680       192
026	027         67.29233917100       8.5230734279       185
027	028         64.42159444800       8.6839697703       178
028	029         61.68413727100       8.8435130474       171
029	030         58.98201840700       8.9999906565       165
030	031         56.39754882700       9.1565433345       159
031	032         53.92581262200       9.3099954215       153
032	033         51.51066205900       9.4601355752       147
033	034         49.17431324500       9.6058690558       141
034	035         46.95559403000       9.7487797013       136
035	036         44.77463172300       9.8926404660       130
036	037         42.69579432700       10.0334927495       125
037	038         40.70883093300       10.1691586059       120
038	039         38.75678421100       10.3037339186       115
039	040         36.91888737800       10.4372793809       110
040	041         35.13461557700       10.5698666455       105
041	042         33.40278774100       10.7011305187       101
042	043         31.71074334600       10.8303554918       96
043	044         30.08999263100       10.9582077998       92
044	045         28.51871856900       11.0866944535       88
045	046         27.03192005100       11.2119834612       84
046	047         25.60461877200       11.3359296893       80
047	048         24.20557991700       11.4588815838       76
048	049         22.86771086100       11.5814635787       72
049	050         21.59560321000       11.7012083369       69
050	051         20.37127650100       11.8196158180       65
051	052         19.22202384800       11.9360937667       62
052	053         18.09664057800       12.0536800948       59
053	054         17.03592638100       12.1678541300       56
054	055         16.02762736200       12.2817020214       53
055	056         15.02982823100       12.3942815273       50
056	057         14.10179535100       12.5067372108       47
057	058         13.20798213800       12.6169414740       45
058	059         12.35588272100       12.7285597811       42
059	060         11.54136985800       12.8380926855       40
060	061         10.77588083600       12.9485442659       37
061	062         10.03034200000       13.0574425853       35
062	063         9.326991595300       13.1661506447       33
063	064         8.660749666300       13.2716159624       31
064	065         8.022719864500       13.3775786030       29
065	066         7.419856429300       13.4820450147       27
066	067         6.860854967300       13.5844216054       25
067	068         6.336000834600       13.6868826302       24
068	069         5.850099016700       13.7881588810       22
069	070         5.382628653600       13.8880132631       20
070	071         4.939157406900       13.9863376381       19
071	072         4.525131805300       14.0866808745       18
072	073         4.143841354500       14.1857423181       16
073	074         3.786560454300       14.2848590832       15
074	075         3.445607576700       14.3814105214       14
075	076         3.134247764300       14.4791872348       13
076	077         2.843835648100       14.5751193381       12
077	078         2.573600049300       14.6710948217       11
078	079         2.325292603300       14.7665628065       10
079	080         2.090535595700       14.8616006389       9
080	081         1.876471776000       14.9595407785       9
081	082         1.677143054600       15.0544788524       8
082	083         1.497817605600       15.1509011259       7
083	084         1.333198050600       15.2484986426       7
084	085         1.183820539400       15.3487687968       6
085	086         1.046440927000       15.4490209985       6
086	087         0.918524468800       15.5494172468       5
087	088         0.801886011110       15.6541300509       4
088	089         0.694081823080       15.7614807751       4
089	090         0.598434590380       15.8709391021       4
090	091         0.509879371250       15.9885612194       4
091	092         0.431020627940       16.1117752231       3
092	093         0.361263331670       16.2447843412       3
093	094         0.296536857170       16.3888497176       2
094	095         0.239005155950       16.5426418594       2
095	096         0.187993942810       16.7204053356       2
096	097         0.143463321690       16.9258635640       2
097	098         0.102647161080       17.1784472972       2
098	099         0.067061611136       17.5181281512       2
099	100         0.035114691670       18.0527758604       2
